Company,Job,Location,Salary,Skills
Leidos,Bioinformatics Scientist 631167 (NCI),"Gaithersburg, MD 20878",0,
Pharmerit International,Scientist - Modeling and Meta-Analysis,"Bethesda, MD",0,
ASRC Federal,Sr. Scheduler/Planner with Project Management,"Greenbelt, MD",0,
"Quantum Research International, Inc.",Analyst/ Operations Research Officers (OROs),"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0,
"Washington, DC",Statistical/Budget Analyst,"Washington, DC",0,
CACI,SOFTWARE DEVELOPER,"Washington, DC 20001 (Shaw area)",0,
SC3,Sr. Data Scientist,"Fairfax, VA",0,
General Assembly,Data Science Instructor,"Washington, DC",0,
Columbus Technologies and Services,Scientific Program Analyst,"Bethesda, MD",0,
ICF,Industrial Organizational Psychologist,"Silver Spring, MD",0,
WSSC,Principal Environmental Engineer,"Laurel, MD 20707","$74,399 - $113,574 a year",Ph.D
EOIR Technologies,Image Scientist,"Suitland, MD",0,
Booz Allen Hamilton,"Operations Research Analyst, Senior","Arlington, VA",0,
Booz Allen Hamilton,"Spectral Research Scientist, Lead","Springfield, VA",0,
AER,Earth System/Computer Scientist,"College Park, MD",0,
SAIC,Telecommunications Network Research Analyst Job,"Herndon, VA",0,
Aeras,"Scientist, B cell Immunologist","Rockville, MD",0,
ASRC Federal,Communications Specialist,"Greenbelt, MD",0,
Capital One,"Manager, Digital Product Management","McLean, VA",0,
ICF,Environmental Scientist/Engineer,"Fairfax, VA",0,
The Select Group,90 PERSON PROJECT,"Reston, VA",0,
BOEING,Supplier Program Manager(SPM),"Fairfax, VA",0,
ICF,Analyst - Child Welfare,"Fairfax, VA",0,
General Dynamics Mission Systems,Operations / Service Engineer for Nuclear Monitoring Program...,"Chantilly, VA",0,
"Integral Consulting Services, Inc.",3032-Junior Operations Research Analyst,"Arlington, VA",0,
Booz Allen Hamilton,"Data Scientist, Senior","Arlington, VA",0,
Merito Group,Quantitative Research Analyst,"Reston, VA 20191",0,
Social & Scientific Systems Inc.,Principal Research Scientist - Medicare Payments,"Silver Spring, MD 20910",0,
The National Center for Advancing Translational Sc...,"Research Scientist, Chemical Development","Rockville, MD",0,
AstraZeneca,"Senior Statistical Programmer / Project Lead, Statistical Pr...","Gaithersburg, MD",0,
Leidos,Data Manager,"Chantilly, VA 20153",0,
Analytic Recruiting,Statistician,"Washington, DC","$100,000 - $125,000 a year",SAS
Capital One,Senior Manager- Technical Analytics,"Vienna, VA",0,
Verizon,Business Operations Manager,"Silver Spring, MD 20904",0,
SBG Technology Solutions,Research Analyst,"Washington, DC",0,
MRIGlobal,Staff Scientist - Research & Development,"Gaithersburg, MD",0,
Leidos,Development Associate III (NCI),"Gaithersburg, MD 20878",0,
SAIC,Data Scientist Principal Job,"Reston, VA",0,
Merck KGaA,TBA,"Rockville, MD",0,
ICF,Network Engineer,"Fort Meade, MD",0,
ICF,Workforce Consultant,"Fairfax, VA",0,
ICF,Research Psychologist,"Fort Meade, MD",0,
Centra Technology,"Quantitative Analyst (Junior, Mid-level, Senior-level)","Washington, DC",0,
Dept of Forensic Sciences,Forensic Scientist II (Crime Scene),"Washington, DC","$76,082 - $97,340 a year",Java
Barbaricum,Project Research Analyst – DTRA,"Washington, DC",0,
Capital One,"Sr. Director, Data Analytics","McLean, VA",0,
ManTech International Corporation,T&E Statistician/Specialist,"Washington, DC",0,
EXCELLENCE CONSULTING,Scientific Analyst - Satellite Radiation,"College Park, MD",0,
Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,Statistician,"Washington, DC",0,
Exponent,Epidemiologist,"Washington, DC 20036 (Downtown area)",0,
"MERP Systems, Inc.",Applied Statistician,"Herndon, VA",0,
Capital One,Data Scientist Intern - Columbia University,"McLean, VA",0,
Carnegie Institution,Systems Administrator,"Washington, DC",0,
National Opinion Research Center (NORC),Research Analyst - Public Health,"Bethesda, MD",0,
Leidos,Machine Learning (ML) Senior Researcher,"Arlington, VA 22202 (Aurora Highlands area)",0,
Latinum Network,Research Analyst,"Bethesda, MD",0,
AeroMancer Technologies Corporation,Optical Systems Engineer,"Washington, DC 20010 (Columbia Heights area)",0,
Oak Ridge Associated Universities,Coastal Wetlands Initiative,"Washington, DC",0,
Vencore,Predictive Modeling Analyst Technical Specialist,"Fort Meade, MD",0,
Systems Planning and Analysis,Operations Research Analyst (JTAAD/SPAG),"Alexandria, VA 22311 (Alexandria Wrest area)",0,
The Advisory Board Company,"Analyst, International Health Care Strategic Research","Washington, DC",0,
SRI International,Research Analyst II - Center for Technology in Learning,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0,
KeyLogic Systems,Data Analyst/Engineer/Scientist,"Washington, DC",0,
Abt Associates,Associate / Scientist - Monitoring and Evaluation Lead,"Bethesda, MD 20814",0,
SeraCare,Sr. Scientist - R&D,"Gaithersburg, MD",0,
Scientific Research Corporation,Senior Military Systems Specialist II,"Fort Belvoir, VA 22060",0,
Booz Allen Hamilton,Chief Data Scientist,"Washington, DC",0,
Energetics Incorporated,Buildings Engineering Consultant (Residential and Commercial...,"Washington, DC 20024 (South West area)",0,
BAE Systems,Senior Machine Learning / Algorithm Developer,"Reston, VA 20191",0,
The Creative Group,Senior Market Research Analyst,"Alexandria, VA 22314 (Southwest Quadrant area)",0,
Mars Symbioscience,Quality Control and Analytical Lab Manager,"Germantown, MD",0,
Booz Allen Hamilton,Data Scientist,"Alexandria, VA",0,
"ADNET Systems, Inc.",AP061 Instrument Engineer,"Greenbelt, MD 20771",0,
Merck KGaA,Associate Scientist II,"Rockville, MD",0,
Vencore,Image Scientist,"Suitland, MD",0,
CACI,"OPERATIONS RESEARCH ANALYST, LEAD","Arlington, VA 22202 (Aurora Highlands area)",0,
Latinum Network,"Analyst, Research Operations & Technology","Bethesda, MD",0,
CSRA,2017 GRADUATES ONLY! Associate Professional: Science,"Washington, DC",0,
CNA Corp.,Research Analyst - Operations Research,"Arlington, VA 22201 (Lyon Village area)",0,
Engility Corporation,Business Financial Analyst,"College Park, MD 20740",0,
SAIC,Project Research Analyst Job,"Fort Belvoir, VA",0,
Booz Allen Hamilton,"Biological / Genomic Research Analyst, Senior","College Park, MD 20740",0,
General Dynamics Information Technology,Sr Principal Scientist - Wound Infection Research,"Silver Spring, MD",0,
JLL,Research Business Analyst,"Washington, DC",0,
"Onyx Government Services, LLC",Statistician,"Vienna, VA",0,
2M Research Services,Qualitative Research Analyst,"Washington, DC 20006 (Foggy Bottom area)",0,
IBM,Advanced Analytics Data Scientist,"Washington, DC 20005 (Logan Circle area)",0,
"Truven Health Analytics, an IBM Company",Research Analyst II - Child and Maternal Health,"Washington, DC",0,
Centra Technology,Research Analyst/Targeter,"Washington, DC",0,
Stratford University,Senior Research Analyst,"Fairfax, VA",0,
EXCELLENCE CONSULTING,Research Scientist - Vegetation Health Indices,"College Park, MD",0,
Environmental Defense Fund,Scientist - Sustainable Agriculture,"Washington, DC 20009 (U Street Corridor area)",0,
The Henry M. Jackson Foundation for the Advancemen...,Research Associate II,"Rockville, MD",0,
Global Solutions Network,Fellowship Program Analyst,"Washington, DC",0,
IFPRI (International Food Policy Research Institut...,Senior Research Assistant/Research Analyst,"Washington, DC",0,
DECISIVE ANALYTICS Corporation,Machine Learning Software Engineer Internship,"Arlington, VA 22202 (Aurora Highlands area)",0,
"Oceana, INC",Marketing Manager - Global Fishing Watch,"Washington, DC 20036 (Downtown area)",0,
CNA Corp.,Research Scientist,"Arlington, VA 22201 (Lyon Village area)",0,
Piper Clinical Solutions,Bioinformatics Scientist,"Bethesda, MD","$130,000 a year",SQL Java Matlab
"OMNITEC Solutions, Inc",Scientific Data Analyst / Curator,"Rockville, MD",0,
GEICO,Lead Data Scientist,"Washington, DC",0,
The Henry M. Jackson Foundation for the Advancemen...,Research Psychologist,"Bethesda, MD",0,
Booz Allen Hamilton,Market Research Analyst,"McLean, VA",0,
Special Counsel,Research and Business Intelligence Analyst,"Washington, DC 20005 (Logan Circle area)",0,
Facebook,Counterterrorism Research Analyst,"Washington, DC",0,
"INNOVIM, LLC",Atmospheric Scientist - Drought,"College Park, MD",0,
Alion Science and Technology,Mathematician Statistician,"Washington, DC 20003 (Capitol Hill area)",0,
Wiser,Intelligence Analyst,"Springfield, VA",0,
Diverse Technologies Corporation,Business Intelligence Analyst,"Rockville, MD 20850",0,
Engility Corporation,Data Manager,"Chantilly, VA 20151",0,
Workbridge Associates,Data Engineer,"Falls Church, VA",$40 - $50 an hour,
CNA Corp.,Research Analyst - (Part-time),"Arlington, VA 22201 (Lyon Village area)",0,
Acquired Data Solutions (ADS),Project Manager,"Washington, DC",0,
BAE Systems,Principal Research Scientist / Principal Investigator,"Arlington, VA",0,
CAVA,Full-Stack Developer,"Washington, DC 20009 (U Street Corridor area)",0,
xentity corporation,GIS Analyst,"Reston, VA",0,
ASRC Federal,Information Technology Specialist,"Greenbelt, MD",0,
"Riverside Technology, inc.",Scientific Programmer,"College Park, MD",0,
Lockheed Martin,Software Engineer - R&D,"Arlington, VA",0,
Korn Ferry/Futurestep,"Associate Director, DIA Learning","Washington, DC",0,
AstraZeneca,"Associate Scientist I / Associate Scientist II, Analytical S...","Gaithersburg, MD",0,
"US Department of Commerce, Commerce Data Service",Senior Engineer,"Washington, DC 20230 (Downtown area)",0,
University of Maryland,Deputy Director for Finance and Administration,"College Park, MD",0,
"BioFortis, Inc.",Software Developer,"Columbia, MD 21044",0,
SNI Financial,Market Research Analyst- Construction,"Washington, DC",0,
"Sotera Defense Solutions, Inc.",Software Engineer - Cyber Defense,"Arlington, VA",0,
Arch Capital Group Ltd.,"Sr Analyst, Data Scientist","Washington, DC",0,
Booz Allen Hamilton,Staff Life Scientist,"McLean, VA",0,
"Metron, Inc.",Operations Research Analyst with Security Clearance,"Pentagon, DC","$80,000 - $90,000 a year",
Constellis Corporate,Market Research Analyst,"Reston, VA",0,
Booz Allen Hamilton,"Data Scientist, Mid","McLean, VA",0,
General Dynamics Information Technology,Imagery Scientist,"Springfield, VA",0,
Lockheed Martin,"Systems Enginee Intel Analyst GPQ TS/SCI Herndon, VA","Herndon, VA 20171",0,
"GeneDx, Inc",R&D Scientist,"Gaithersburg, MD 20877",0,
ASRC Federal,Application Support Specialist,"Sterling, VA",0,
Piper Enterprise Solutions,Scientist I/II,"Gaithersburg, MD",0,
Systems Planning and Analysis,Operations Research Analyst (JTAAD/OSAG),"Alexandria, VA 22311 (Alexandria Wrest area)",0,
Leidos,Senior Data Scientist,"Washington, DC 20001 (Shaw area)",0,
BAE Systems,Senior Principal Research Software Engineer,"Arlington, VA",0,
Northrop Grumman,Systems Analyst 4 (Engineer Research Development),"McLean, VA",0,
Engility Corporation,Systems Engineer,"North Bethesda, MD 20852",0,
"Akima, LLC",Senior Research Analyst (Top Secret clearance with Polygraph...,"Bethesda, MD",0,
All-In Analytics,Market Risk Data Scientist,"Washington, DC","$80,000 - $100,000 a year",SAS SQL
American Chemical Society,Data Manager,"Washington, DC 20036 (Downtown area)",0,
Govini,Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0,
Booz Allen Hamilton,Operations Research Analyst,"Washington, DC",0,
Jobspring Partners,Data Scientist,"Washington, DC","$150,000 - $200,000 a year",
IBM,Advanced Analytics Lead Data Scientist - Supply Chain Optimi...,"Washington, DC 20005 (Logan Circle area)",0,
"BCS, Inc.",Research Analyst-Energy,"Washington, DC",0,
U.S. Department of Labor,Research Statistician,"Washington, DC","$77,490 - $119,794 a year",Java Ph.D
Computer Futures,Data Architect- DC Metro- 6 Month C2H,"Washington, DC",$90 - $120 an hour,
"ADNET Systems, Inc.",Earth Data Support Scientist - GD100,"Greenbelt, MD 20770","$75,000 a year",Python Matlab UNIX Perl visualization
Truth Initiative,"Research Analyst, Schroeder Institute","Washington, DC 20001 (Shaw area)",0,
Wood Consulting,Computer Scientist,"Fort Meade, MD",0,
GlaxoSmithKline,"Investigator,Computational Scientist/Engineer,TSci","Washington, DC 20005 (Logan Circle area)",0,
ICF,Production Specialist,"Rockville, MD",0,
George Washington University,Research Scientist,"Ashburn, VA 20147",0,
CEB,Research Analyst- Campus Recruiting- May 2017 Undergraduates,"Washington, DC",0,
Booz Allen Hamilton,"Operations Research Analyst, Mid","McLean, VA",0,
CH2M,"Environmental Scientist 1 - Washington, DC","Herndon, VA",0,
EXCELLENCE CONSULTING,Research Scientist - Ensemble Forecasting,"College Park, MD",0,
Piper Clinical Solutions,Scientist II,"Rockville, MD",0,
Intrexon Corporation.,Project Coordinator,"Germantown, MD",0,
"InTec, LLC",Imagery Scientist,"Springfield, VA",0,
National Opinion Research Center (NORC),Principal Research Analyst - Health Care,"Bethesda, MD",0,
ICF,Senior Research Associate in Criminal Justice,"Fairfax, VA",0,
Engility Corporation,Budget Analyst,"Springfield, VA 22150",0,
Hanover Research,Research Analyst—Market Research Practice Area,"Arlington, VA 22203 (Bluemont area)",0,
DDL OMNI Engineering,Senior Operations Research Analyst,"Washington, DC",0,
"INNOVIM, LLC",Atmosphereic Reanalysys Scientist,"College Park, MD",0,
Rain King Software,Research Analyst,"Bethesda, MD 20817",0,
ICF,Security Access Management Specialist,"Arlington, VA",0,
Columbus Technologies and Services,Project Manager - Quality Assurance/IV&V,"Bethesda, MD",0,
Accenture,Federal - Data Scientist Manager,"Alexandria, VA 22310",0,
Vencore,Sensor Image Scientist,"Alexandria, VA",0,
"Deltek, Inc.","Federal Associate Research Analyst (Defense - Floater), DOD/...","Herndon, VA",0,
Cushman & Wakefield,VA Research Analyst,"Washington, DC",0,
Knowledge Link,Research Analyst (TS/SCI with Polygraph REQUIRED),"Chantilly, VA",0,
Management Sciences for Health,Senior Campaigns and Communications Associate - No More Epid...,"Arlington, VA 22203 (Bluemont area)",0,
General Dynamics Information Technology,Sr Principal Scientist TS/SCI with Polygraph Required,"Springfield, VA",0,
"Hi-Tec Systems, Inc.",Pilot SME for FAA Safety & Technical Training,"Washington, DC 20001 (Shaw area)",0,
BDS Marketing,Sr. Analyst Research Services,"Washington, DC",0,
Merck KGaA,"Assoc, Scientific 1","Rockville, MD",0,
The Henry M. Jackson Foundation for the Advancemen...,Behavioral Science Researcher,"Bethesda, MD",0,
Synchronoss,Quality Assurance Analyst,"Reston, VA",0,
The Smithers Group,Research Scientist II,"Gaithersburg, MD",0,
Vencore,Operations Research Analyst,"McLean, VA",0,
National Security Agency,Data Scientist - Experienced,"Fort George G Meade, MD","$92,145 - $141,555 a year",
Engility Corporation,Research Scientist,"McLean, VA",0,
"Aledade, Inc.",Research Analyst,"Bethesda, MD",0,
Ashton Lane Group,Quantitative Analyst Model Validation,"Washington, DC",0,
Centra Technology,Research Analyst,"Washington, DC",0,
Lockheed Martin,Machine Learning and Data Analytics Research Researcher,"Arlington, VA",0,
"Risk Management, Office of",Statistician,"Washington, DC","$81,050 - $104,423 a year",SAS SQL Java SPSS
Selby Jennings,Associate Data Science,"Washington, DC","$125,000 - $150,000 a year",Python
Hilton Corporate,"Sr. Analyst, Data Analytics","McLean, VA",0,
Centers for Disease Control and Prevention,Health Scientist,"Washington, DC","$88,305 - $146,570 a year",
Vanda Pharmaceuticals Inc.,Statistical Analyst,"Washington, DC",0,
StreetShares,Sr. Decision Scientist / Sr. Statistician,"Reston, VA",0,
The Brookings Institution,"Research Analyst, The Hutchins Center on Fiscal and Monetary...","Washington, DC",0,
"BigBear, Inc.",Geospatial Data Analyst,"Washington, DC",0,
Booz Allen Hamilton,"Defense Research Analyst, Junior","Arlington, VA",0,
ICF,Information Architect,"Fairfax, VA",0,
American Institutes for Research,Associate Data Scientist,"Washington, DC",0,
Oak Ridge Associated Universities,EPA Web Developer,"Arlington, VA",$21.80 an hour,SQL Java visualization
Capgemini Government Solutions,Data Wrangler / Data Scientist,"Washington, DC",0,
National Opinion Research Center (NORC),Research Scientist - Health Care,"Bethesda, MD",0,
Secure Mission Solutions,SoftwareDeveloper/Computer Scientist Researcher,"Adelphi, MD 20783",0,
Harris Corporation,Computer Vision Scientist,"Springfield, VA 22161",0,
Oak Ridge Associated Universities,OTC Drug Monograph Regulatory Analysis Fellowship - CDER,"Silver Spring, MD",0,
AstraZeneca,Principal Scientist,"Gaithersburg, MD",0,
Uber,Regional Marketing Research Lead,"Washington, DC 20036 (Downtown area)",0,
"Resource Systems Group, Inc.",Transportation Market Research Analyst,"Arlington, VA",0,
"Advanced C4 Solutions, Inc. (AC4S)",Statistician/Imagery Science Support Level 1,"Springfield, VA",0,
World Wildlife Fund,Global Science Leaders - 17025,"Washington, DC 20037 (Foggy Bottom area)",0,
MacroGenics,Research Assoc. II/Assoc. Scientist - Antibody Eng,"Rockville, MD 20850",0,
Truth Initiative,Data Scientist,"Washington, DC 20001 (Shaw area)",0,
"Deltek, Inc.","Associate Federal Research Analyst, Department of Defense","Herndon, VA",0,
Creative Circle,Market Research Analyst,"Washington, DC 20036 (Downtown area)",$20 an hour,Ph.D
Continuum,Client Facing Consultant - Senior Python Developer,"Washington, DC",0,
Booz Allen Hamilton,"Data Visualization Engineer, Senior","Alexandria, VA",0,
Invincea,Principal Data Science Research Engineer,"Fairfax, VA 22030",0,
General Dynamics Information Technology,Associate Scientist,"Bethesda, MD",0,
Management Sciences for Health,Senior Data Scientist & Analytics Developer,"Arlington, VA 22203 (Bluemont area)",0,
Institute for Defense Analyses,Research Analyst - Space Systems,"Alexandria, VA 22311 (Alexandria Wrest area)",0,
ASRC Federal,Project Support Specialist,"Greenbelt, MD",0,
REDHORSE CORPORATION,Research Analyst_CNT,"Washington, DC 20585",0,
Ironbow Technologies,Ergonomics Research Analyst,"Washington, DC",0,
Capital One,Lead Data Scientist,"McLean, VA",0,
Universities Space Research Association,Research Scientist,"Greenbelt, MD",0,
SESDA,Scientific Software Programmer,"Bethesda, MD",0,
Capital One,Quantitative Principal Analyst – Model Validation,"McLean, VA",0,
"The Cadmus Group, Inc.","Research Analyst, Environmental and Climate Change Programs","Bethesda, MD 20814",0,
Novetta,Computer Scientist,"National Harbor, MD",0,
Association of American Medical Colleges,Research & Data Analyst,"Washington, DC 20037 (Foggy Bottom area)",0,
Vencore,Mid Program Engineer - Scientist,"Arlington, VA",0,
Abt Associates,Senior Analyst,"Bethesda, MD 20814",0,
MicroHealth LLC,Statistician Intern,"Vienna, VA",$10 an hour,
Choice Hotels,"Sr. Analyst, Market Research & Information","Rockville, MD",0,
KPMG,Manager - Data Scientist,"Washington, DC 20036 (Downtown area)",0,
National Academy for State Health Policy (Washingt...,Research Analyst - Child & Family Policy Team,"Washington, DC",0,
General Assembly,Part Time Data Science Instructor,"Washington, DC",0,
Gryphon Scientific,Undergraduate Spring Semester Intern,"Takoma Park, MD",0,
BOEING,Test & Evaluation Engineer - Entry Level,"Patuxent River Estates, MD",0,
Battelle,Principal Research Scientist - Labor Economist,"Arlington, VA 22204 (Douglas Park area)",0,
Southwest Research Institute,"RESEARCH ANALYST – SOFTWARE DEVELOPMENT -WASHINGTON, D.C.","Washington, DC",0,
University of Southern California,Computer Scientist - High Performance Computing & Big Data,"Arlington, VA",0,
The National Center for Advancing Translational Sc...,Scientist,"Rockville, MD",0,
MOJA,Systems Engineer,"McLean, VA",0,
Heart Failure Society of America,Administrative Assistant - Non-Profit Association,"Bethesda, MD 20817",0,
Green Key Resources,Research Analyst,"Rockville, MD",0,
Noblis,Senior Data Analytics Engineer,"Falls Church, VA 22042",0,
"IMMUNOMIC THERAPEUTICS, INC.",Post-Doctoral Fellow - Oncology,"Rockville, MD 20850",0,
University of Southern California,Computer Scientist,"Arlington, VA",0,
comScore,Sr Statistical Anaylst,"Reston, VA",0,
ICF,Autonomy/IDOL Specialist,"Fairfax, VA",0,
Oak Ridge Associated Universities,Emergent Statistical Approaches in Quantitative Health Risk...,"Arlington, VA",0,
Xcellent Technology Solutions,Imagery Scientist,"Springfield, VA",0,
Deloitte,Insight Studio Analytics Designer,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0,
SAIC,Psychology Research Analyst Job,"Bethesda, MD 20817",0,
Great-Circle Technologies,RADAR Imagery Scientist,"Bethesda, MD",0,
"SS Papadopulos & Associates, Inc.",GIS Analyst,"Bethesda, MD",0,
"Eastern Research Group, Inc.",Entry-Level Environmental/IT Analyst,"Chantilly, VA 20151",0,
The US Oncology Network,Research Financial Analyst,"Fairfax, VA",0,
Capital One,"Product Operations Associate, Capital One Labs","Arlington, VA",0,
The Advisory Board Company,"Analyst, K-12 EAB Strategic Research","Washington, DC",0,
I.M. Systems Group (IMSG),Support Scientists – Sea-Surface Salinity,"College Park, MD",0,
"Science System and Applications, Inc.",Scientific Programmer/Analyst to Support Aerosol Remote Sens...,"Greenbelt, MD",0,
Raytheon,Web Based Research Analyst,"Herndon, VA 20170",0,
GlaxoSmithKline,"Scientific Leader,Computational Scientist/Engineer, TSci","Washington, DC 20005 (Logan Circle area)",0,
"Dolphin Solutions, Inc",BI Analyst,"Rockville, MD",0,
MicroStrategy,Senior Consultant (Big Data),"Washington, DC",0,
National Security Agency,Data Scientist,"Fort George G Meade, MD","$65,572 - $84,611 a year",
General Dynamics Information Technology,Brain Trauma Research Scientist (Neuroscientist) (WRAIR),"Silver Spring, MD",0,
"Eagle Technologies, Incorporated",Data/Research Analyst,"Washington, DC",0,
Booz Allen Hamilton,Geospatial Research Scientist,"Alexandria, VA",0,
Capital One,Data Analysis Product Manager,"McLean, VA",0,
Hanover Research,Senior Research Analyst -- Education Market Research,"Arlington, VA 22203 (Bluemont area)",0,
Engility Corporation,Sr. Operations Research/Data Analyst,"McLean, VA",0,
The Henry M. Jackson Foundation for the Advancemen...,Research Associate (Part Time),"Bethesda, MD",0,
General Dynamics Information Technology,Sr Scientist - Structural Biology,"Silver Spring, MD",0,
Camris International,Microbiology Research Technician - WRAIR,"Silver Spring, MD",0,
Barone Consulting,Machine Learning - R&D,"Arlington, VA",0,
Analytic Recruiting,Data Analyst – Junior Data Scientist,"Washington, DC","$70,000 - $85,000 a year",SQL Python Tableau Hadoop Hive machine learning
Salient CRGT,Statistician,"Washington, DC",0,
Booz Allen Hamilton,"Machine Learning Technology Consultant, Mid","Arlington, VA",0,
Vox Media,"VP, Data and Insights","Washington, DC",0,
General Dynamics Information Technology,Data Research Analyst,"Washington, DC",0,
GWU - ECE Department,Post-Doctoral Scientist,"Washington, DC","$46,000 a year",
Acuity Systems,Data Scientist/Tableau Developer,"Herndon, VA",0,
IBM Kenexa,Advanced Analytics Lead Data Scientist - Supply Chain Optimi...,"Washington, DC",0,
Comcast,"Analyst, Advertising Research & Insights","Bethesda, MD 20814",0,
Northrop Grumman,Business Process Analysis Manager 1 (Big Data),"Woodlawn, MD",0,
T-Rex Corporation,Technician (Statistician),"Greenbelt, MD 20770",0,
Logistics Management Institute,Research Analyst - Logistics,"Arlington, VA",0,
The Camstoll Group,"Research Analyst Intern, Washington DC","Washington, DC",0,
Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,Program Analyst - Senior,"Alexandria, VA",0,
Missing Link Security,Jr. Management Analyst,"Washington, DC",0,
Dr Firstcom Inc,"Program Manager, Data Analytics and Applications","Rockville, MD 20850",0,
ICF,Financial Analyst,"Fairfax, VA",0,
Inovalon,"Analyst, Financial and Quantitative Analytics","Bowie, MD 20715",0,
CSRA,Project Support Specialist (Part time approx 10 hours per we...,"Rockville, MD",0,
ICF,Operations Specialist,"Rockville, MD",0,
Merito Group,"Research Analyst, Government Affairs","Reston, VA 20191",0,
"INNOVIM, LLC",Atmospheric Scientist,"College Park, MD",0,
Smart Consulting Group,B.2.42 - Senior Pharmacovigilance Subject Matter Expert,"Washington, DC",0,
WESTAT,Statistical Programmer Analyst,"Rockville, MD 20850",0,
Twentieth Century Fox,Research Analyst,"Washington, DC",0,
"Calloway & Associates, Inc.",Research Protocol Specialist,"Bethesda, MD",$34.01 an hour,
AstraZeneca,"Scientist I, Biophysics","Gaithersburg, MD",0,
WESTAT,Survey Sampling Statistician,"Rockville, MD 20850",0,
"Total Environmental Concepts, Inc.",Environmental Technician/Scientist - Entry Level,"Springfield, VA","$42,000 a year",
Central Intelligence Agency,Data Scientist,"Washington, DC","$62,338 - $160,300 a year",Java
Fors Marsh Group,"Senior Researcher, Communication Research","Arlington, VA 22201 (Lyon Village area)",0,
Access Group Inc.,Research Analyst,"Washington, DC",0,
"University Research Co., LLC.",Maryland Proposal SAMHSA - Senior Statistical Programmer,"Bethesda, MD 20814",0,
"ADNET Systems, Inc.",GD099 Scientific Software Programmer,"Greenbelt, MD 20771",0,
American Diabetes Association,Senior Research Analyst,"Alexandria, VA",0,
Stimson Center,"Research Analyst, Natural Security Forum","Washington, DC",0,
"Metron, Inc.",Analyst,"Reston, VA 20190",0,
EMD,Scientist - Immunoassay,"Rockville, MD",0,
Sayres and Associates,Research Analyst (NID),"Bethesda, MD",0,
Ball Aerospace,Product Owner (659723),"Chantilly, VA",0,
Barbaricum,Project Research Analyst – DTRA with Security Clearance,"Fort George G Meade, MD",0,
Capital One,Data Scientist Intern - Virginia Tech,"McLean, VA",0,
Engility Corporation,Senior HPC/Linux Systems Engineer,"Silver Spring, MD 20993",0,
ICF,Web Specialist,"Fairfax, VA",0,
Clinical Research Management,Preclinical Vaccine Evaluation Scientist,"Silver Spring, MD",0,
"ENSCO, Inc.",Senior Software Engineer,"Springfield, VA 22151",0,
"Synchronoss Technologies, Inc.",Data Scientist – Quality Assurance Analyst,"Reston, VA",0,
Tech USA,Scientist I - Immunoassay Group,"Gaithersburg, MD 20877",0,
The Aerospace Corporation,Associate Ground Systems Software Engineer,"Chantilly, VA 20151",0,
Coder Kids,Computer Scientist (Web Development),"McLean, VA 22101",$19 an hour,
Dexis Consulting Group,Data Research Analyst,"Washington, DC",0,
"Applied Research Associates, Inc",Senior Operations Research Analyst,"Washington, DC",0,
Parsons Corporation,Modeling and Simulation Analyst (EO/IR),"Suitland, MD",0,
"Project Support Services, Inc.",Statistician,"Arlington, VA 22202 (Aurora Highlands area)",0,
ECS Federal LLC,Mathematician / Statistician,"Arlington, VA",0,
Qbase,SENIOR DATA ANALYST,"Reston, VA",0,
All-In Analytics,Lead Market Risk Data Scientist,"Washington, DC","$100,000 - $125,000 a year",SAS SQL
Social & Scientific Systems Inc.,Project Manager (Healthcare Data Analysis),"Silver Spring, MD 20910",0,
Columbus Technologies and Services,Bioinformatics Scientist,"Bethesda, MD",0,
Addx,Journeyman Operations Research Analyst,"Washington, DC",0,
Capital One,Data Analysis Manager,"McLean, VA",0,
Leidos,Bioinformatics Analyst III (NCI),"Bethesda, MD 20813",0,
"Alaire Technologies, Inc",Computer Scientist/Engineer,"Lorton, VA 22079",0,
AECOM,Sr. Pricing Analyst,"Chantilly, VA",0,
The Henry M. Jackson Foundation for the Advancemen...,Senior Regulatory Research Oversight Analyst,"Bethesda, MD",0,
Riverside Research,Computer Vision Scientist,"Springfield, VA",0,
American Association For the Advancement of Scienc...,Scientific Illustrator,"Washington, DC",0,
Delex,Imagery Scientist,"Suitland, MD",0,
Sawdey Solution Services,"Operations Research Analyst- Washington, DC","Washington, DC 20005 (Logan Circle area)",0,
The Henry M. Jackson Foundation for the Advancemen...,Senior Biostatistician,"Bethesda, MD",0,
"IMG Information Management Group, Inc.",Market Research Analyst,"Fairfax, VA",0,
Eurofins,Bioassay Scientist,"Gaithersburg, MD",0,
Accenture,Federal - Data Scientist,"Suitland, MD",0,
"Akimeka, LLC",Buildings Engineering Consultant (Residential and Commercial...,"Washington, DC",0,
The Advisory Board Company,"Senior Analyst, International Health Care Strategic Research","Washington, DC",0,
Systems Planning and Analysis,Associate Operations Research Analyst (MRAD/NWAG),"Alexandria, VA 22311 (Alexandria Wrest area)",0,
The Henry M. Jackson Foundation for the Advancemen...,Postdoctoral Fellow,"Silver Spring, MD",0,
HWC,Data Scientist,"Washington, DC",0,
